Challenge4,,
,,
ItemID,Description,Value
796014,InvoiceID,71180
796015,InvoiceID,71181
796016,InvoiceID,71181
796017,InvoiceID,71181
796018,InvoiceID,71181
796019,InvoiceID,71181
796680,InvoiceID,71337
796681,InvoiceID,71337
796682,InvoiceID,71337
796683,InvoiceID,71337
796823,InvoiceID,71371
798325,InvoiceID,71729
798326,InvoiceID,71729
798327,InvoiceID,71729
798328,InvoiceID,71729
798329,InvoiceID,71730
798330,InvoiceID,71730
798331,InvoiceID,71730
798332,InvoiceID,71730
798333,InvoiceID,71730
798488,InvoiceID,71770
798489,InvoiceID,71770
798490,InvoiceID,71770
798491,InvoiceID,71770
798492,InvoiceID,71770
798493,InvoiceID,71770
798494,InvoiceID,71770
798495,InvoiceID,71770
798496,InvoiceID,71770
798786,InvoiceID,71844
798787,InvoiceID,71844
798788,InvoiceID,71844
799306,InvoiceID,71968
799307,InvoiceID,71968
799308,InvoiceID,71968
799309,InvoiceID,71968
799499,InvoiceID,72004
799500,InvoiceID,72004
800745,InvoiceID,72296
800746,InvoiceID,72296
800747,InvoiceID,72296
800748,InvoiceID,72296
800749,InvoiceID,72296
800952,InvoiceID,72345
800953,InvoiceID,72345
800954,InvoiceID,72345
800955,InvoiceID,72345
800956,InvoiceID,72346
800957,InvoiceID,72346
801435,InvoiceID,72465
801436,InvoiceID,72465
801437,InvoiceID,72465
801438,InvoiceID,72465
801439,InvoiceID,72465
801440,InvoiceID,72465
801441,InvoiceID,72465
801766,InvoiceID,72550
801767,InvoiceID,72550
801768,InvoiceID,72550
801769,InvoiceID,72550
792608,InvoiceID,70345
792609,InvoiceID,70345
792613,InvoiceID,70347
792614,InvoiceID,70347
792615,InvoiceID,70347
792616,InvoiceID,70347
792617,InvoiceID,70347
792618,InvoiceID,70348
792619,InvoiceID,70348
792620,InvoiceID,70348
792658,InvoiceID,70359
792659,InvoiceID,70359
792660,InvoiceID,70359
792661,InvoiceID,70360
792661bis,InvoiceID,70360
792662,InvoiceID,70360
792663,InvoiceID,70360
792664,InvoiceID,70360
792665,InvoiceID,70361
792666,InvoiceID,70361
792667,InvoiceID,70361
792720,InvoiceID,70375
792721,InvoiceID,70375
792722,InvoiceID,70375
792723,InvoiceID,70375
792787,InvoiceID,70390
792788,InvoiceID,70390
792789,InvoiceID,70390
792835,InvoiceID,70400
792865,InvoiceID,70407
792866,InvoiceID,70407
792867,InvoiceID,70407
792868,InvoiceID,70407
792901,InvoiceID,70417
792902,InvoiceID,70417
792903,InvoiceID,70417
792904,InvoiceID,70417
792905,InvoiceID,70417
792906,InvoiceID,70418
792907,InvoiceID,70418
793209,InvoiceID,70508
793210,InvoiceID,70508
793211,InvoiceID,70508
793212,InvoiceID,70508
793213,InvoiceID,70508
793257,InvoiceID,70520
793448,InvoiceID,70572
793449,InvoiceID,70572
793450,InvoiceID,70572
793451,InvoiceID,70572
793851,InvoiceID,70658
793852,InvoiceID,70658
793853,InvoiceID,70658
793854,InvoiceID,70658
793855,InvoiceID,70658
793856,InvoiceID,70658
793857,InvoiceID,70658
793940,InvoiceID,70678
793941,InvoiceID,70678
793942,InvoiceID,70678
794382,InvoiceID,70786
794383,InvoiceID,70786
794484,InvoiceID,70812
794485,InvoiceID,70812
794486,InvoiceID,70812
794487,InvoiceID,70812
795892,InvoiceID,71152
795893,InvoiceID,71152
795894,InvoiceID,71152
795895,InvoiceID,71152
796253,InvoiceID,71237
796254,InvoiceID,71237
796255,InvoiceID,71237
796256,InvoiceID,71237
796671,InvoiceID,71336
796672,InvoiceID,71336
796673,InvoiceID,71336
796674,InvoiceID,71336
796675,InvoiceID,71336
796676,InvoiceID,71336
796677,InvoiceID,71336
796678,InvoiceID,71336
796679,InvoiceID,71336
797653,InvoiceID,71566
797654,InvoiceID,71566
797655,InvoiceID,71566
797656,InvoiceID,71566
797657,InvoiceID,71567
797658,InvoiceID,71567
797659,InvoiceID,71567
797660,InvoiceID,71567
797948,InvoiceID,71638
797949,InvoiceID,71638
797950,InvoiceID,71638
798090,InvoiceID,71673
798091,InvoiceID,71673
798092,InvoiceID,71673
798093,InvoiceID,71673
798094,InvoiceID,71673
796524,Quantity,15
796525,Quantity,8
796526,Quantity,3
796824,Quantity,4
796825,Quantity,16
796826,Quantity,6
796827,Quantity,10
797958,Quantity,15
797959,Quantity,16
799310,Quantity,1
799311,Quantity,17
799312,Quantity,14
799501,Quantity,16
799502,Quantity,11
799503,Quantity,8
799504,Quantity,7
800219,Quantity,9
800220,Quantity,14
800221,Quantity,1
800222,Quantity,13
800223,Quantity,4
800750,Quantity,16
800751,Quantity,7
800752,Quantity,10
800753,Quantity,18
800754,Quantity,11
801295,Quantity,7
801296,Quantity,18
801297,Quantity,11
792584,Quantity,12
792585,Quantity,6
792610,Quantity,4
792611,Quantity,5
792612,Quantity,11
792668,Quantity,8
792669,Quantity,4
792670,Quantity,2
792671,Quantity,4
792672,Quantity,2
792673,Quantity,5
792765,Quantity,6
792766,Quantity,5
792767,Quantity,12
792768,Quantity,11
792769,Quantity,1
792790,Quantity,7
792791,Quantity,6
792792,Quantity,6
792793,Quantity,12
792794,Quantity,8
792795,Quantity,10
792908,Quantity,10
793054,Quantity,12
793055,Quantity,9
793056,Quantity,8
793173,Quantity,11
793174,Quantity,1
793175,Quantity,7
793176,Quantity,2
793177,Quantity,2
793369,Quantity,13
793370,Quantity,3
793371,Quantity,1
793372,Quantity,2
793571,Quantity,4
793572,Quantity,21
793573,Quantity,19
793574,Quantity,2
793699,Quantity,14
793700,Quantity,13
793701,Quantity,21
793702,Quantity,16
793703,Quantity,20
793858,Quantity,17
793859,Quantity,11
793860,Quantity,14
793861,Quantity,20
793862,Quantity,13
793863,Quantity,17
793864,Quantity,3
793865,Quantity,6
793866,Quantity,21
793867,Quantity,9
793868,Quantity,12
793869,Quantity,1
796398,Quantity,11
796399,Quantity,17
796684,Quantity,20
796685,Quantity,15
796686,Quantity,8
796687,Quantity,7
797358,Quantity,1
797359,Quantity,17
797661,Quantity,11
797951,Quantity,4
797952,Quantity,10
797953,Quantity,12
797954,Quantity,16
797955,Quantity,14
797956,Quantity,12
797957,Quantity,9
798095,Quantity,18
798096,Quantity,12
798334,Quantity,17
798335,Quantity,21
798336,Quantity,13
798337,Quantity,10
798338,Quantity,7
798339,Quantity,11
798340,Quantity,3
798341,Quantity,9
798342,Quantity,12
798497,Quantity,21
798498,Quantity,20
798499,Quantity,2
798500,Quantity,1
798501,Quantity,5
798510,Quantity,2
798511,Quantity,20
798789,Quantity,12
798790,Quantity,14
798791,Quantity,11
798792,Quantity,3
799106,Quantity,20
799107,Quantity,2
800958,Quantity,14
800959,Quantity,4
800960,Quantity,16
800961,Quantity,20
800962,Quantity,9
800963,Quantity,6
800964,Quantity,4
800965,Quantity,4
800966,Quantity,7
800967,Quantity,17
801093,Quantity,6
801094,Quantity,11
801095,Quantity,19
801096,Quantity,5
801097,Quantity,2
792627,Quantity,3
792628,Quantity,10
792629,Quantity,3
792630,Quantity,4
792724,Quantity,11
792725,Quantity,5
792726,Quantity,7
792727,Quantity,10
793695,Quantity,12
793696,Quantity,7
793697,Quantity,15
793698,Quantity,21
794575,Quantity,14
794576,Quantity,14
794577,Quantity,6
794578,Quantity,1
795148,Quantity,2
795149,Quantity,3
795150,Quantity,12
795213,Quantity,21
795214,Quantity,14
795215,Quantity,11
795216,Quantity,12
795217,Quantity,16
795218,Quantity,9
795510,Quantity,11
795511,Quantity,17
795512,Quantity,16
795513,Quantity,13
795514,Quantity,9
795896,Quantity,21
795897,Quantity,17
795898,Quantity,15
796012,Quantity,15
796013,Quantity,18
796014,Quantity,14
796015,Quantity,21
796016,Quantity,21
796017,Quantity,11
796018,Quantity,20
796019,Quantity,5
796680,Quantity,12
796681,Quantity,12
796682,Quantity,4
796683,Quantity,5
796823,Quantity,18
798325,Quantity,14
798326,Quantity,17
798327,Quantity,6
798328,Quantity,9
798329,Quantity,8
798330,Quantity,17
798331,Quantity,7
798332,Quantity,20
798333,Quantity,11
798488,Quantity,5
798489,Quantity,3
798490,Quantity,18
798491,Quantity,17
798492,Quantity,15
798493,Quantity,20
798494,Quantity,6
798495,Quantity,7
798496,Quantity,12
798786,Quantity,5
798787,Quantity,13
798788,Quantity,18
799306,Quantity,20
799307,Quantity,4
799308,Quantity,20
799309,Quantity,9
799499,Quantity,20
799500,Quantity,2
800745,Quantity,1
800746,Quantity,12
800747,Quantity,10
800748,Quantity,4
800749,Quantity,10
800952,Quantity,12
800953,Quantity,19
800954,Quantity,4
800955,Quantity,21
800956,Quantity,1
800957,Quantity,9
801435,Quantity,4
801436,Quantity,7
801437,Quantity,1
801438,Quantity,14
801439,Quantity,4
801440,Quantity,5
801441,Quantity,12
801766,Quantity,15
801767,Quantity,4
801768,Quantity,15
801769,Quantity,3
792608,Quantity,8
792609,Quantity,7
792613,Quantity,9
792614,Quantity,10
792615,Quantity,3
792616,Quantity,9
792617,Quantity,5
792618,Quantity,5
792619,Quantity,4
792620,Quantity,11
792658,Quantity,12
792659,Quantity,2
792660,Quantity,3
792661,Quantity,5
792662,Quantity,13
792663,Quantity,1
792664,Quantity,2
792665,Quantity,6
792666,Quantity,12
792667,Quantity,12
792720,Quantity,9
792721,Quantity,5
792722,Quantity,6
792723,Quantity,9
792787,Quantity,11
792788,Quantity,6
792789,Quantity,2
792835,Quantity,9
792865,Quantity,6
792866,Quantity,2
792867,Quantity,9
792868,Quantity,8
792901,Quantity,11
792902,Quantity,5
792903,Quantity,1
792904,Quantity,11
792905,Quantity,7
792906,Quantity,1
792907,Quantity,10
793209,Quantity,5
793210,Quantity,12
793211,Quantity,4
793212,Quantity,8
793213,Quantity,8
793257,Quantity,7
793448,Quantity,13
793449,Quantity,8
793450,Quantity,12
793451,Quantity,12
793851,Quantity,13
793852,Quantity,8
793853,Quantity,13
793854,Quantity,8
793855,Quantity,2
793856,Quantity,7
793857,Quantity,5
793940,Quantity,7
793941,Quantity,4
793942,Quantity,6
794382,Quantity,15
794383,Quantity,1
794484,Quantity,18
794485,Quantity,3
794486,Quantity,20
794487,Quantity,6
795892,Quantity,18
795893,Quantity,2
795894,Quantity,4
795895,Quantity,15
796253,Quantity,18
796254,Quantity,14
796255,Quantity,8
796256,Quantity,12
796671,Quantity,15
796672,Quantity,5
796673,Quantity,14
796674,Quantity,6
796675,Quantity,13
796676,Quantity,15
796677,Quantity,7
796678,Quantity,14
796679,Quantity,18
797653,Quantity,19
797654,Quantity,17
797655,Quantity,4
797656,Quantity,15
797657,Quantity,12
797658,Quantity,2
797659,Quantity,10
797660,Quantity,6
797948,Quantity,5
797949,Quantity,18
797950,Quantity,14
798090,Quantity,16
798091,Quantity,6
798092,Quantity,11
798093,Quantity,8
796524,Unit Price,60.25
796525,Unit Price,52
796526,Unit Price,69.5
796824,Unit Price,68
796825,Unit Price,92.25
796826,Unit Price,64.25
796827,Unit Price,77
797958,Unit Price,55
797959,Unit Price,87
799310,Unit Price,83
799311,Unit Price,70.25
799312,Unit Price,84.25
799501,Unit Price,78.75
799502,Unit Price,78.5
799503,Unit Price,90.5
799504,Unit Price,70.25
800219,Unit Price,83
800220,Unit Price,63.75
800221,Unit Price,114
800222,Unit Price,68
800223,Unit Price,109.5
800750,Unit Price,90
800751,Unit Price,90.5
800752,Unit Price,62.5
800753,Unit Price,69
800754,Unit Price,89.25
801295,Unit Price,73.75
801296,Unit Price,87
801297,Unit Price,87.25
792584,Unit Price,53.25
792585,Unit Price,52.75
792610,Unit Price,91.25
792611,Unit Price,95.75
792612,Unit Price,100.25
792668,Unit Price,89.5
792669,Unit Price,91.5
792670,Unit Price,76.75
792671,Unit Price,53.25
792672,Unit Price,68.5
792673,Unit Price,55.5
792765,Unit Price,79.25
792766,Unit Price,69.75
792767,Unit Price,60
792768,Unit Price,75.75
792769,Unit Price,66.75
792790,Unit Price,75
792791,Unit Price,71.5
792792,Unit Price,75.75
792793,Unit Price,55.5
792794,Unit Price,71.5
792795,Unit Price,47.75
792908,Unit Price,71.5
793054,Unit Price,81
793055,Unit Price,100.25
793056,Unit Price,61
793173,Unit Price,73.5
793174,Unit Price,80.5
793175,Unit Price,59
793176,Unit Price,84.25
793177,Unit Price,77.25
793369,Unit Price,61
793370,Unit Price,69.5
793371,Unit Price,77.25
793372,Unit Price,57.75
793571,Unit Price,101.25
793572,Unit Price,114.25
793573,Unit Price,76.25
793574,Unit Price,71.5
793699,Unit Price,100.25
793700,Unit Price,76.75
793701,Unit Price,86.5
793702,Unit Price,74.75
793703,Unit Price,87.75
793858,Unit Price,87
793859,Unit Price,74.75
793860,Unit Price,101.25
793861,Unit Price,89.25
793862,Unit Price,96.75
793863,Unit Price,78.75
793864,Unit Price,96.75
793865,Unit Price,64
793866,Unit Price,62.5
793867,Unit Price,64.25
793868,Unit Price,87
793869,Unit Price,99.5
796398,Unit Price,114.25
796399,Unit Price,104.75
796684,Unit Price,61
796685,Unit Price,86.5
796686,Unit Price,76.75
796687,Unit Price,106.5
797358,Unit Price,89.25
797359,Unit Price,114
797661,Unit Price,60.25
797951,Unit Price,62.5
797952,Unit Price,89.25
797953,Unit Price,64
797954,Unit Price,87.75
797955,Unit Price,73.75
797956,Unit Price,64
797957,Unit Price,100.25
798095,Unit Price,64
798096,Unit Price,102.75
798334,Unit Price,77
798335,Unit Price,114
798336,Unit Price,67.75
798337,Unit Price,86.5
798338,Unit Price,79.75
798339,Unit Price,76.75
798340,Unit Price,88.5
798341,Unit Price,86.5
798342,Unit Price,102.75
798497,Unit Price,114
798498,Unit Price,69
798499,Unit Price,102.75
798500,Unit Price,102.75
798501,Unit Price,76.75
798510,Unit Price,104.5
798511,Unit Price,87.25
798789,Unit Price,104.5
798790,Unit Price,96.75
798791,Unit Price,114.25
798792,Unit Price,85.75
799106,Unit Price,93.75
799107,Unit Price,85.75
800958,Unit Price,61
800959,Unit Price,52
800960,Unit Price,93.75
800961,Unit Price,96.75
800962,Unit Price,69
800963,Unit Price,62.5
800964,Unit Price,90.5
800965,Unit Price,102.75
800966,Unit Price,86.5
800967,Unit Price,64.25
801093,Unit Price,81.75
801094,Unit Price,87
801095,Unit Price,96.75
801096,Unit Price,83
801097,Unit Price,114
792627,Unit Price,57
792628,Unit Price,60.75
792629,Unit Price,54.75
792630,Unit Price,61.5
792724,Unit Price,59.25
792725,Unit Price,62.25
792726,Unit Price,58.75
792727,Unit Price,91.5
793695,Unit Price,90
793696,Unit Price,90.5
793697,Unit Price,69.5
793698,Unit Price,99.5
794575,Unit Price,92.25
794576,Unit Price,96.75
794577,Unit Price,76.75
794578,Unit Price,93.75
795148,Unit Price,87.75
795149,Unit Price,60.25
795150,Unit Price,64.25
795213,Unit Price,67.75
795214,Unit Price,93.75
795215,Unit Price,76.75
795216,Unit Price,85.75
795217,Unit Price,104.75
795218,Unit Price,76.75
795510,Unit Price,69.5
795511,Unit Price,102.75
795512,Unit Price,86.5
795513,Unit Price,114.25
795514,Unit Price,61
795896,Unit Price,106.5
795897,Unit Price,104.75
795898,Unit Price,87
796012,Unit Price,66.5
796013,Unit Price,90
796014,Unit Price,100.25
796015,Unit Price,64.25
796016,Unit Price,67.75
796017,Unit Price,93.75
796018,Unit Price,96.75
796019,Unit Price,69
796680,Unit Price,96.75
796681,Unit Price,76.75
796682,Unit Price,69.5
796683,Unit Price,86.5
796823,Unit Price,64.25
798325,Unit Price,87.75
798326,Unit Price,93.75
798327,Unit Price,104.5
798328,Unit Price,101.25
798329,Unit Price,76.75
798330,Unit Price,68
798331,Unit Price,87.75
798332,Unit Price,73.75
798333,Unit Price,77
798488,Unit Price,102.75
798489,Unit Price,81.75
798490,Unit Price,73.75
798491,Unit Price,64.25
798492,Unit Price,89.25
798493,Unit Price,71
798494,Unit Price,76.75
798495,Unit Price,114
798496,Unit Price,93.75
798786,Unit Price,69
798787,Unit Price,89.25
798788,Unit Price,79.75
799306,Unit Price,73.75
799307,Unit Price,83
799308,Unit Price,81.75
799309,Unit Price,78.75
799499,Unit Price,87
799500,Unit Price,61.75
800745,Unit Price,78.75
800746,Unit Price,69
800747,Unit Price,67.75
800748,Unit Price,85.75
800749,Unit Price,87
800952,Unit Price,61.75
800953,Unit Price,66.5
800954,Unit Price,60.25
800955,Unit Price,77
800956,Unit Price,69.5
800957,Unit Price,61.75
801435,Unit Price,78.75
801436,Unit Price,71
801437,Unit Price,85.75
801438,Unit Price,86.5
801439,Unit Price,70
801440,Unit Price,68
801441,Unit Price,69
801766,Unit Price,77
801767,Unit Price,84.25
801768,Unit Price,84.25
801769,Unit Price,90.5
792608,Unit Price,87
792609,Unit Price,100.25
792613,Unit Price,68.5
792614,Unit Price,68.5
792615,Unit Price,52.75
792616,Unit Price,79
792617,Unit Price,64.25
792618,Unit Price,98.5
792619,Unit Price,67.5
792620,Unit Price,54.5
792658,Unit Price,54.5
792659,Unit Price,69.75
792660,Unit Price,61
792661,Unit Price,95.75
792662,Unit Price,100
792663,Unit Price,75
792664,Unit Price,55.5
792665,Unit Price,95.75
792666,Unit Price,53.25
792667,Unit Price,93.25
792720,Unit Price,91.5
792721,Unit Price,58.75
792722,Unit Price,91.5
792723,Unit Price,60.5
792787,Unit Price,54.75
792788,Unit Price,68.5
792789,Unit Price,87
792835,Unit Price,75
792865,Unit Price,54.5
792866,Unit Price,54.5
792867,Unit Price,78
792868,Unit Price,61
792901,Unit Price,71.75
792902,Unit Price,78
792903,Unit Price,100
792904,Unit Price,66.5
792905,Unit Price,55.5
792906,Unit Price,68.5
792907,Unit Price,61.5
793209,Unit Price,78
793210,Unit Price,78.5
793211,Unit Price,75.75
793212,Unit Price,66.75
793213,Unit Price,90
793257,Unit Price,57.75
793448,Unit Price,58.75
793449,Unit Price,60.75
793450,Unit Price,66.75
793451,Unit Price,61
793851,Unit Price,96.75
793852,Unit Price,78.5
793853,Unit Price,52
793854,Unit Price,64.25
793855,Unit Price,64.25
793856,Unit Price,102.75
793857,Unit Price,75.25
793940,Unit Price,73.75
793941,Unit Price,89.25
793942,Unit Price,87.75
794382,Unit Price,114
794383,Unit Price,114
794484,Unit Price,69
794485,Unit Price,81.75
794486,Unit Price,99.5
794487,Unit Price,77
795892,Unit Price,69
795893,Unit Price,78.5
795894,Unit Price,85.75
795895,Unit Price,114.25
796253,Unit Price,64.25
796254,Unit Price,60.25
796255,Unit Price,73.75
796256,Unit Price,73.75
796671,Unit Price,78.75
796672,Unit Price,83
796673,Unit Price,102.75
796674,Unit Price,64.25
796675,Unit Price,78.5
796676,Unit Price,88.5
796677,Unit Price,93.75
796678,Unit Price,76.75
796679,Unit Price,114
797653,Unit Price,63.75
797654,Unit Price,76.25
797655,Unit Price,64.25
797656,Unit Price,90.5
797657,Unit Price,77
797658,Unit Price,64.25
797659,Unit Price,84.25
797660,Unit Price,66.5
797948,Unit Price,67.75
797949,Unit Price,93.75
797950,Unit Price,96.75
798090,Unit Price,104.75
798091,Unit Price,66.5
798092,Unit Price,60.25
798093,Unit Price,84.25
-,-,1000
